Item,Item Type,Subtype,Rarity,Act,Overworld,Area,Location,Story Requirements,Tags
Emblazoned Plate of the Marshal,Torso,Heavy,Very Rare,3,Multiple Locations,-,-,Loot Duke Ulder Ravenguard,"Save Bonus, Damage Reduction, Fire, Evocation, Retaliation"
Scarlet Leather Armour,Torso,Light,Uncommon,3,Multiple Locations,-,-,Loot Dolor or Ffion,Stealth
Bonespike Boots,Boots,Clothing,Very Rare,3,Rivington,-,-,Find the item (X: -1340 Y: -857),"Armor Class Bonus, Save Bonus, Jump, Prone"
Martial Exertion Gloves,Gloves,Clothing,Rare,3,Rivington,-,-,Trade Bumpnagel,"Movement Speed, Hasted, Masochism"
Nimblefinger Gloves,Gloves,Clothing,Rare,3,Rivington,-,-,Trade Bumpnagel,"DEX Increase, DEX Check Bonus, Acrobatics, Sleight of Hand, Stealth"
Thunderpalm Strikers,Gloves,Clothing,Rare,3,Rivington,-,-,Trade Bumpnagel,"Damage Bonus, Unarmed Attacks, Thunder, Forced Movement, Evocation"
Scabby Pugilist Circlet,Head,Clothing,Rare,3,Rivington,-,-,Trade Mattis,"Improvised Weapons, Melee Weapons, Unarmed Attacks"
The Undead Bane,Melee,Martial,Uncommon,3,Rivington,-,-,Loot Ulma,"Damage Bonus, Damage Rider Source, Greataxe"
Corpsegrinder,Melee,Martial,Rare,3,Rivington,-,-,Loot Cairos,"Thunder, Forced Movement, Maul"
Dwarven Thrower,Melee,Martial,Very Rare,3,Rivington,-,-,Trade Ferg Drogher,"Damage Bonus, Thrown Weapons, Warhammer"
Sethan,Melee,Martial,Very Rare,3,Rivington,-,-,Trade Ferg Drogher,"Evocation, Transmutation, Summon, Greataxe"
Cold Snap,Melee,Simple,Rare,3,Rivington,-,-,Trade Ferg Drogher,"Armor Class Bonus, Cold, Retaliation, Dagger"
Gleamdance Dagger,Melee,Simple,Rare,3,Rivington,-,-,Loot Farlin,"Armor Class Bonus, Dagger"
Corvid Token,Neck,,Very Rare,3,Rivington,-,-,Trade Mattis,"Jump, Blinded, Polymorphed, Transmutation"
Tressym Collar,Neck,,Very Rare,3,Rivington,-,-,Loot the Tressym,"Forced Movement, Transmutation"
Hellrider Longbow,Ranged,Martial,Uncommon,3,Rivington,-,-,Trade Ferg Drogher,"Generally Good, Initiative, Attack Roll Bonus, Critical Hits, Perception, Longbow"
Robe of Supreme Defences,Torso,Clothing,Very Rare,3,Rivington,-,-,Trade Ferg Drogher,"Spell Attacks, Spell DC, Armor Class Bonus, Save Bonus"
Ring of Truthfulness,Ring,,Rare,3,Rivington,Abandoned Windmill,-,Loot the Mind Flayer,Insight
Boots of Very Fast Blinking,Boots,Clothing,Uncommon,3,Rivington,Circus of the Last Days,-,Lose at Wheel of Fortune,"Teleport, Conjuration"
Reverse Rain Cloak,Cloak,Clothing,Uncommon,3,Rivington,Circus of the Last Days,-,Lose at Wheel of Fortune,Wet
Unlucky Thief's Gloves,Gloves,Clothing,Uncommon,3,Rivington,Circus of the Last Days,-,Lose at Wheel of Fortune,Sleight of Hand
Dark Displacement Gloves,Gloves,Clothing,Rare,3,Rivington,Circus of the Last Days,-,Trade or loot Popper,"Thrown Weapons, Sleight of Hand"
Spellmight Gloves,Gloves,Clothing,Very Rare,3,Rivington,Circus of the Last Days,-,Find Dribbles the Clown or Loot Lucretious,Damage Bonus
The Pointy Hat,Head,Clothing,Rare,3,Rivington,Circus of the Last Days,-,Find the item (Chest behind Lucretious),Persuasion
Clown Hammer,Melee,Martial,Rare,3,Rivington,Circus of the Last Days,-,Loot the impostor Dribbles,"Critical Hits, Incapacitated, Warhammer"
Comeback Handaxe,Melee,Simple,Uncommon,3,Rivington,Circus of the Last Days,-,Lose at Wheel of Fortune,"Thrown Weapons, Handaxe"
Staff of a Mumbling Wizard,Melee,Simple,Uncommon,3,Rivington,Circus of the Last Days,-,Lose at Wheel of Fortune,"Fire, Evocation, Quarterstaff"
Hollow's Staff,Melee,Simple,Rare,3,Rivington,Circus of the Last Days,-,Loot Lucretious,"Save Penalty, Necrotic, Necromancy, Quarterstaff"
Sweet Stone Features,Other,,,3,Rivington,Circus of the Last Days,-,Pay Boney 5000 gold,"Attack Roll Bonus, Save Bonus"
Djinni Ring,Ring,,Uncommon,3,Rivington,Circus of the Last Days,-,Loot Akabi,Conjuration
Nyrulna,Melee,Simple,Legendary,3,Rivington,Circus of the Last Days,Jungle,"Cheat at Wheel of Fortune, win, then loot the item (X: -1511 Y: -1522)","Thrown Weapons, Jump, Movement Speed, Thunder, Bleeding, Forced Movement, Damage Rider Source, Trident"
Band of the Mystic Scoundrel,Ring,,Rare,3,Rivington,Circus of the Last Days,Jungle,"Cheat at Wheel of Fortune, win, then loot the item (X: -1566 Y: -1522)","Hasted, Enchantment, Illusion"
Seraphic Pugilist Gloves,Gloves,Clothing,Rare,3,Rivington,Open Hand Temple,-,"Find the item (X: -90, Y: -7)","Attack Roll Bonus, Unarmed Attacks, Radiant, Evocation"
Ring of Blink,Ring,,Rare,3,Rivington,Open Hand Temple,-,Persuade or steal from Tara,Conjuration
Stillmaker,Melee,Simple,Very Rare,3,Rivington,Open Hand Temple,Open Hand Temple Cellar,Find the item (X: 67 Y: -1018),"Attack Roll Bonus, Critical Hits, Enchantment, Dagger"
Stalker Gloves,Gloves,Clothing,Rare,3,Rivington,Rivington General,-,Trade Exxvikyap,"Initiative, Damage Bonus, Rogue, Damage Rider Source"
Ambusher,Melee,Martial,Rare,3,Rivington,Rivington General,-,Trade Exxvikyap,"Initiative, Necrotic, Perception, Shortsword"
The Dancing Breeze,Melee,Martial,Very Rare,3,Rivington,Rivington General,-,Trade Exxvikyap,"Multi-Hit, Glaive"
Swires' Sledboard,Shield,,Very Rare,3,Rivington,Rivington General,-,Trade Exxvikyap,"Initiative, Force Conduit, Prone, Retaliation"
Bonespike Garb,Torso,Clothing,Very Rare,3,Rivington,Rivington General,-,Trade Exxvikyap,"Damage Reduction, Temporary Hit Points, Piercing, Barbarian, Retaliation"
Elven Chain,Torso,Medium,Rare,3,Rivington,Rivington General,-,Trade Exxvikyap,Initiative
Assassin's Shortsword,Melee,Martial,Uncommon,3,Shadow-Cursed Lands,Reithwin Town,House of Healing,"Find the item (X:-252, Y:36)","Stealth, Shortsword"
Protective Plate,Torso,Heavy,Uncommon,3,Shadow-Cursed Lands,Reithwin Town,House of Healing,Loot Hollow Armour,"Damage Reduction, Necrotic"
Boots of Uninhibited Kushigo,Boots,Clothing,Rare,3,The Astral Plane,-,-,Loot Prelate Lir'i'c,"Damage Bonus, Unarmed Attacks"
Staff of the Emperor,Melee,Simple,Rare,3,The Astral Plane,-,-,Disarm the Emperor,"Stunned, Retaliation, Quarterstaff"
Partial Ceremorphosis,Other,,,3,The Astral Plane,-,-,Consume the Astral-Touched Tadpole,"Illithid, Tadpole"
Orphic Ring,Ring,,Very Rare,3,The Astral Plane,-,-,Loot Orpheus,"Uncontrolled, Enchantment"
Sentient Amulet (Very Rare),Neck,,Very Rare,3,The Underdark,Grymforge,-,Help the Cursed Monk and refuse to take his madness,"Thunder, Monk, Evocation"
Drunken Cloth,Torso,Clothing,Rare,3,Underground,Lower City Sewers,Guildhall,Trade Severn,"Save Bonus, Temporary Hit Points, Drunk"
Bonespike Gloves,Gloves,Clothing,Very Rare,3,Underground,Undercity Ruins,-,Loot Strangler Luke,"Damage Bonus, Bludgeoning, Piercing, Slashing"
Crimson Mischief,Melee,Martial,Legendary,3,Underground,Undercity Ruins,-,Defeat Orin,"Damage Bonus, Damage Rider Source, Shortsword"
Bloodthirst,Melee,Simple,Legendary,3,Underground,Undercity Ruins,-,Defeat Orin,"Attack Roll Bonus, Critical Hits, Armor Class Bonus, Damage Vulnerability, Divination, Retaliation, Dagger"
Mutilated Carapace,Torso,Clothing,Rare,3,Underground,Undercity Ruins,-,Loot Orin,"Attack Roll Bonus, Damage Bonus, Armor Class Bonus, Polymorphed, Deception, Persuasion"
Armour of Moonbasking,Torso,Light,Very Rare,3,Underground,Undercity Ruins,-,Trade Voiceless Penitent Bareki,"Armor Class Bonus, Save Bonus, Damage Reduction, Temporary Hit Points, Polymorphed, Druid"
Cloak of Displacement,Cloak,Clothing,Rare,3,Wyrm's Crossing,-,-,Trade Entharl Danthelon,Attack Roll Penalty
Snow-Dusted Monastery Gloves,Gloves,Clothing,Rare,3,Wyrm's Crossing,-,-,Trade Entharl Danthelon,"Damage Bonus, Unarmed Attacks, Cold, Conjuration"
Gauntlet of the Tyrant,Gloves,Clothing,Very Rare,3,Wyrm's Crossing,-,-,Loot Enver Gortash,"Damage Bonus, Unarmed Attacks, Spell DC, Force, Enchantment"
Gauntlets of the Warmaster,Gloves,Medium,Very Rare,3,Wyrm's Crossing,-,-,Trade Entharl Danthelon,"Attack Roll Bonus, Save Penalty, Fighter"
Horns of the Berserker,Head,Clothing,Very Rare,3,Wyrm's Crossing,-,-,Trade Entharl Danthelon,"Attack Roll Bonus, Necrotic, Masochism"
Harmonic Dueller,Melee,Martial,Rare,3,Wyrm's Crossing,-,-,Trade Entharl Danthelon,"Damage Bonus, Rapier"
Absolute Confidence Amulet,Neck,,Uncommon,3,Wyrm's Crossing,-,-,"Keep talking to Naaber, or pickpocket him",Performance
Amulet of the Drunkard,Neck,,Rare,3,Wyrm's Crossing,-,-,Trade Hoots Hooligan,"Regeneration, Drunk"
Blightbringer,Ranged,Simple,Very Rare,3,Wyrm's Crossing,-,-,Trade Entharl Danthelon,"Attack Roll Bonus, Damage Bonus, Critical Hits, Slowed, Shortbow"
Garb of the Land and Sky,Torso,Clothing,Rare,3,Wyrm's Crossing,-,-,Trade Entharl Danthelon,"Attack Roll Bonus, Critical Hits, Armor Class Bonus, Damage Reduction, Force, Monk"
Seemingly Gleaming Ring,Ring,,Uncommon,3,Wyrm's Crossing,Carm's Garm,-,"Pickpocket Naaber, then keep talking to him",Save Bonus
Monk's Hideous Laughter,Other,,,3,Wyrm's Crossing,Open Hand Temple,-,Help the Cursed Monk and accept the curse,"Uncontrolled, Enchantment"
Tyrannical Jackboots,Boots,Clothing,Uncommon,3,Wyrm's Crossing,Wyrm's Rock Fortress,-,Loot Enver Gortash,"CHA Check Bonus, Save Bonus, Deception, Intimidation, Performance, Persuasion"
Helldusk Boots,Boots,Clothing,Very Rare,3,Wyrm's Crossing,Wyrm's Rock Fortress,-,Find the item (X: -32 Y: 219),"Save Bonus, Immovable, Movement Speed, Teleport, Fire"
Servitor of the Black Hand Gloves,Gloves,Clothing,Rare,3,Wyrm's Crossing,Wyrm's Rock Fortress,-,Find the item (X: -32 Y: 198),"Damage Bonus, Unarmed Attacks, Force, Frightened, Illusion"
Infernal Spear,Melee,Simple,Rare,3,Wyrm's Crossing,Wyrm's Rock Fortress,-,Loot from Iron Consul Mian or Nuff,"Poison, Poisoned, Spear"
Fabricated Arbalest,Ranged,Simple,Very Rare,3,Wyrm's Crossing,Wyrm's Rock Fortress,-,Loot Enver Gortash,"Blinded, Radiating Orb, Heavy Crossbow"
Cloth of Authority,Torso,Clothing,Rare,3,Wyrm's Crossing,Wyrm's Rock Fortress,-,Loot Enver Gortash,"Armor Class Bonus, Condition Immunity, Insight, Intimidation"
Flame Enamelled Armour,Torso,Medium,Very Rare,3,Wyrm's Crossing,Wyrm's Rock Fortress,-,Find the item (X: -28 Y: 184),"Initiative, Save Bonus, Damage Reduction, Fire, Evocation, Retaliation"
Helm of Balduran,Head,Medium,Legendary,3,Wyrm's Crossing,Wyrm's Rock Fortress,The Wyrmway,Find the item (X: 636 Y: -964),"Armor Class Bonus, Save Bonus, Critical Hit Immunity, Regeneration"
Balduran's Giantslayer,Melee,Martial,Legendary,3,Wyrm's Crossing,Wyrm's Rock Fortress,The Wyrmway,Loot Ansur,"STR Check Bonus, Attack Roll Bonus, Damage Bonus, Critical Hits, Save Bonus, Temporary Hit Points, Prone, Athletics, Damage Rider Source, Greatsword"
